tmk,year_tce,total_value,public_costce_discounted
55002093,2030,1176200,776987.1433578935
55002097,2050,2423100,918086.5450943632
55002099,2075,2323400,412749.20279941976
55003026,2075,2216300,456537.3462965873
55003028,2075,2570400,533974.0735687197
55003041,2100,2225100,224079.65851339418
55003043,2100,1954000,174905.87848798285
56001026,2100,2790600,276428.68903191667
56001028,2100,3206900,322951.1268322067
56001029,2100,4492100,455418.234940898
57003037,2075,2721100,484255.5270908662
57003039,2030,3802000,2987543.6881364104
57003040,2030,2748100,2134365.935150733
57003041,2050,3862500,1558192.8265095714
57003042,2030,3210000,2472371.0494771455
57003043,2030,3664000,2863586.593266902
57003044,2050,4177900,1788013.648173417
57003045,2030,3832100,3089142.131146527
57003055,2075,4595900,1001629.3570739689
57003056,2050,3805500,1564380.8918146857
57003057,2075,3210800,538591.3960166752
57003058,2030,3573800,2828528.314729448
57003059,2100,3909000,295270.0398609614
57003062,2050,3522800,1545739.4454706197
57005001,2050,3446300,1504452.921946203
57005002,2050,1106000,476511.7759984199
57005003,2100,4608200,435740.75227904
58001021,2050,1573500,539385.9599203593
58001034,2075,707100,147295.0894409575
58003068,2100,3503700,298159.8131031502
58003069,2075,5705400,1186948.3109951864
58006034,2100,4913000,448157.4145260761
58006039,2100,4529700,403889.36685451446
58006041,2100,4347600,342521.1778486757
59001010,2075,6141000,1360005.414552307
59001012,2075,3833800,848977.2432894417
59001026,2075,4301800,942300.822410062
59001027,2075,5349100,1103525.0109906506
59001028,2100,7867700,832078.3796967949
59001032,2100,3338400,353109.41235397157
59001033,2050,4219800,1956699.010844999
59001057,2075,4023000,890946.39028561
59001071,2050,3652700,1693737.7309146235
59001087,2030,4022500,3368780.4225099995
59001088,2075,3708800,787647.7599212218
59001089,2050,3620100,1678621.2828001282
59001098,2075,4300100,951145.4865173978
59001099,2100,4639900,434382.9708134422
59001110,2030,1477100,1237047.9955474257
59002001,2075,1400600,155394.21344021542
59002002,2030,1588200,1047371.8993174987
59002003,2030,1589500,1014629.9153912943
59002004,2030,2198300,1375433.5021792005
59002005,2030,2414200,1651744.1624066248
59002008,2050,3862900,1397813.307216647
59002011,2050,2653100,965884.9398812437
59002012,2075,3499700,559333.9956284186
59002017,2030,2897400,1953243.8460021466
59002018,2024,3201900,2738327.4757
59002019,2075,1387600,297165.47946545377
59002020,2100,1326000,134514.92788788772
59002022,2100,1471300,154069.52429625057
59002023,2075,1264700,279823.99749479623
59002025,2030,2863800,2064549.6186105509
59002026,2024,3251800,2996985.2734000003
59002030,2100,1713900,181282.71682047445
59002033,2100,1396100,119274.83607671066
59002035,2024,3240700,2884591.5760000004
59002036,2030,2666500,1920544.1532721878
59002038,2100,1873000,187942.63044755493
59002045,2024,1758900,1472572.1994
59002046,2075,3347800,378431.0813384877
59002048,2050,1189100,391973.4102247146
59002057,2100,1244600,84071.79398858715
59002058,2050,2916300,1004370.9999191889
59002066,2050,3224100,1402154.8823407379
59002067,2050,3858300,1773348.2011895662
59003002,2075,3676700,530510.6034774703
59003003,2075,3061400,412519.8587591607
59003004,2050,4078000,1890947.0984942191
59003005,2050,4222600,1957997.3560818268
59003006,2050,3649100,1691696.5318862079
59003007,2050,5115500,2228438.7624704596
59003008,2050,3462400,1252834.596273386
59003009,2075,967700,200791.23926787576
59003010,2050,3584400,1207579.469319657
59003011,2100,1487600,84476.66981830761
59003014,2075,1614800,357618.7499461106
59003015,2075,1399900,282355.4953180462
59003016,2030,3246700,2295680.2478989456
59003033,2030,4084900,3421039.4401270594
59003034,2075,4227500,552583.1242139873
59003035,2050,3473900,1412585.4987206417
59003037,2075,3777000,536323.0078616823
59003038,2100,4145400,180427.11684853325
59003040,2100,4432300,219450.19718045337
59003041,2030,4112300,3441804.4562591626
